path,category,tracked,ignored,size,usage_evidence,recommendation,delete_risk,notes
"node_modules/","generated dependency directory","no","yes","not measured; excluded from size scan","Not referenced as application source; installed from package-lock.json.","Can delete locally if you will run npm install before frontend builds.","low","Do not commit. Needed for npm scripts until dependencies are reinstalled."
"vendor/","generated dependency directory","no","yes","not measured; excluded from size scan","Not application source; installed from composer.lock.","Can delete locally if you will run composer install before running Laravel.","low","Do not commit. App and Artisan will fail until Composer dependencies are reinstalled."
"public/build/","generated frontend build output","no","yes","276K","Ignored by git; contains Vite manifest and app assets.","Can delete locally if you will run npm run build again before serving built assets.","low","Deleting may trigger Vite manifest errors until rebuilt."
"storage/framework/views/","generated Blade cache","no","yes","part of storage/framework 836K","Ignored compiled Blade files.","Can clear with php artisan view:clear.","low","Keep the parent storage/framework directory."
"storage/logs/","runtime logs","no","yes","1.6M","Ignored laravel.log and browser.log.","Can truncate or delete log files, not the directory.","low","Useful for debugging; Laravel expects storage/logs to exist."
"storage/pail/","runtime/tool cache","no","yes","8.0K","Ignored by git; related to Laravel Pail runtime data.","Can delete locally when Pail is not running.","low","Directory may be recreated by tooling."
"bootstrap/cache/packages.php","generated cache file","no","yes","part of bootstrap/cache 36K","Ignored cache generated by Laravel package discovery.","Can clear with php artisan optimize:clear.","low","Do not delete bootstrap/cache/.gitignore."
"bootstrap/cache/services.php","generated cache file","no","yes","part of bootstrap/cache 36K","Ignored cache generated by Laravel package discovery.","Can clear with php artisan optimize:clear.","low","Do not delete bootstrap/cache/.gitignore."
"database/database.sqlite","local database file","no","yes","not measured individually","Ignored file; current Boost app info reports MySQL as database engine.","Review before deleting; can delete only if no local SQLite data is needed.","medium","May contain local data even if the app currently uses MySQL."
".claude/","agent/tooling metadata","yes","no","168K","Contains Claude skill files duplicated by name with .agents/skills; no runtime Laravel references found; team reports Claude is not used.","Candidate to delete after team confirmation.","low-medium","Versioned non-runtime tooling; safe for Laravel runtime, but removal should be intentional because it deletes Claude-specific agent guidance."
".codex/","agent/tooling metadata","yes","no","8.0K","Contains Codex config; no runtime Laravel references found.","Keep while Codex is used on this repo.","medium","Not Laravel runtime code, but may configure this working environment."
".agents/","agent/tooling metadata","yes","no","168K","Referenced by AGENTS.md workflow and active project skills.","Keep unless removing repository AI-agent guidance intentionally.","medium","Not Laravel runtime code, but actively relevant for this session."
"context/","project context and planning artifacts","yes","no","232K","Contains SQL schemas, database dictionaries, menu proposals, bitacora, and this CSV; no runtime Laravel references found.","Archive or prune individual files only after confirming they are obsolete.","medium","Useful historical/project context; not loaded by Laravel at runtime."
".github/","CI metadata","yes","no","16K","Contains GitHub workflow files.","Keep if GitHub Actions are used.","medium","Not Laravel runtime code, but supports repository automation."
"storage/app/","Laravel storage directory","partially","partially","24K","Standard Laravel storage path with .gitignore placeholders.","Keep directory; review contents only.","high","Deleting the directory can break storage operations."
"storage/framework/","Laravel runtime framework storage","partially","partially","836K","Standard Laravel runtime path for cache, sessions, testing, and compiled views.","Keep directory; clear generated children through Artisan.","high","Deleting the parent can break Laravel runtime."
"bootstrap/cache/","Laravel cache directory","partially","partially","36K","Standard Laravel bootstrap cache location with tracked .gitignore and ignored generated files.","Keep directory; clear generated files through Artisan.","high","Laravel expects this directory to exist and be writable."
